"geoRegion","datum","entries","sumTotal","timeframe_7d","offset_last7d","sumTotal_last7d","timeframe_14d","offset_last14d","sumTotal_last14d","timeframe_28d","offset_last28d","sumTotal_last28d","timeframe_phase2","offset_Phase2","sumTotal_Phase2","timeframe_phase2b","offset_Phase2b","sumTotal_Phase2b","sum7d","sum14d","mean7d","mean14d","timeframe_all","entries_diff_last_age","pop","inz_entries","inzmean7d","inzmean14d","inzsumTotal","inzsumTotal_last7d","inzsumTotal_last14d","inzsumTotal_last28d","inzsumTotal_Phase2","inzsumTotal_Phase2b","inzsum7d","inzsum14d","sumdelta7d","inzdelta7d","type","type_variant","version","datum_unit","entries_letzter_stand","entries_neu_gemeldet","entries_diff_last"
"CH",2020-02-24,1,1,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,NA,NA,NA,NA,TRUE,1,8606033,0.01,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-01-12_07-57-58","day",1,0,2836
"CH",2020-02-25,1,2,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,NA,NA,NA,NA,TRUE,1,8606033,0.01,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-01-12_07-57-58","day",1,0,2836
"CH",2020-02-26,10,12,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,NA,NA,NA,NA,TRUE,1,8606033,0.12,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-01-12_07-57-58","day",10,0,2836
"CH",2020-02-27,10,22,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,NA,NA,8,NA,TRUE,1,8606033,0.12,0.09,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-01-12_07-57-58","day",10,0,2836
"CH",2020-02-28,10,32,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,NA,NA,12.14,NA,TRUE,1,8606033,0.12,0.14,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-01-12_07-57-58","day",10,0,2836
"CH",2020-02-29,13,45,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,NA,NA,16.71,NA,TRUE,1,8606033,0.15,0.19,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2021-01-12_07-57-58","day",13,0,2836
"CH",2020-03-01,11,56,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,56,NA,24,30.86,TRUE,1,8606033,0.13,0.28,0.36,0.65,NA,NA,NA,NA,NA,0.65,NA,NA,NA,"COVID19Cases","","2021-01-12_07-57-58","day",11,0,2836
"CH",2020-03-02,30,86,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,85,NA,31.43,44.5,TRUE,1,8606033,0.35,0.37,0.52,1,NA,NA,NA,NA,NA,0.99,NA,29,0.34,"COVID19Cases","","2021-01-12_07-57-58","day",30,0,2836
"CH",2020-03-03,33,119,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,117,NA,40.43,59.43,TRUE,1,8606033,0.38,0.47,0.69,1.38,NA,NA,NA,NA,NA,1.36,NA,32,0.37,"COVID19Cases","","2021-01-12_07-57-58","day",33,0,2836
"CH",2020-03-04,61,180,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,168,NA,45.57,82.5,TRUE,1,8606033,0.71,0.53,0.96,2.09,NA,NA,NA,NA,NA,1.95,NA,51,0.59,"COVID19Cases","","2021-01-12_07-57-58","day",61,0,2836
"CH",2020-03-05,62,242,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,220,NA,53.71,107.21,TRUE,1,8606033,0.72,0.62,1.25,2.81,NA,NA,NA,NA,NA,2.56,NA,52,0.61,"COVID19Cases","","2021-01-12_07-57-58","day",62,0,2836
"CH",2020-03-06,73,315,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,283,NA,76.86,137.29,TRUE,1,8606033,0.85,0.89,1.6,3.66,NA,NA,NA,NA,NA,3.29,NA,63,0.73,"COVID19Cases","","2021-01-12_07-57-58","day",73,0,2836
"CH",2020-03-07,49,364,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,319,NA,102.14,166.07,TRUE,1,8606033,0.57,1.19,1.93,4.23,NA,NA,NA,NA,NA,3.71,NA,36,0.42,"COVID19Cases","","2021-01-12_07-57-58","day",49,0,2836
"CH",2020-03-08,68,432,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,376,432,141,188.5,TRUE,1,8606033,0.79,1.64,2.19,5.02,NA,NA,NA,NA,NA,4.37,5.02,57,0.66,"COVID19Cases","","2021-01-12_07-57-58","day",68,0,2836
"CH",2020-03-09,192,624,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,538,623,183,262.07,TRUE,1,8606033,2.23,2.13,3.05,7.25,NA,NA,NA,NA,NA,6.25,7.24,162,1.88,"COVID19Cases","","2021-01-12_07-57-58","day",192,0,2836
"CH",2020-03-10,210,834,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,715,832,234.14,337,TRUE,1,8606033,2.44,2.72,3.92,9.69,NA,NA,NA,NA,NA,8.31,9.67,177,2.06,"COVID19Cases","","2021-01-12_07-57-58","day",210,0,2836
"CH",2020-03-11,333,1167,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,987,1155,286.57,418.71,TRUE,1,8606033,3.87,3.33,4.87,13.56,NA,NA,NA,NA,NA,11.47,13.42,272,3.16,"COVID19Cases","","2021-01-12_07-57-58","day",333,0,2836
"CH",2020-03-12,356,1523,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,1281,1501,323.29,473.93,TRUE,1,8606033,4.14,3.76,5.51,17.7,NA,NA,NA,NA,NA,14.88,17.44,294,3.41,"COVID19Cases","","2021-01-12_07-57-58","day",356,0,2836
"CH",2020-03-13,431,1954,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,1639,1922,447.29,550.07,TRUE,1,8606033,5.01,5.2,6.39,22.71,NA,NA,NA,NA,NA,19.04,22.33,358,4.16,"COVID19Cases","","2021-01-12_07-57-58","day",431,0,2836
"CH",2020-03-14,416,2370,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,2006,2325,571.86,595.93,TRUE,1,8606033,4.83,6.64,6.92,27.54,NA,NA,NA,NA,NA,23.31,27.02,367,4.27,"COVID19Cases","","2021-01-12_07-57-58","day",416,0,2836
"CH",2020-03-15,325,2695,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,2263,2639,696.43,630.07,TRUE,1,8606033,3.78,8.09,7.32,31.32,NA,NA,NA,NA,NA,26.3,30.66,257,2.99,"COVID19Cases","","2021-01-12_07-57-58","day",325,0,2836
"CH",2020-03-16,1060,3755,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,3131,3669,764.86,720.71,TRUE,1,8606033,12.32,8.89,8.37,43.63,NA,NA,NA,NA,NA,36.38,42.63,868,10.08,"COVID19Cases","","2021-01-12_07-57-58","day",1060,0,2836
"CH",2020-03-17,1082,4837,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,4003,4718,866,794.36,TRUE,1,8606033,12.57,10.06,9.23,56.2,NA,NA,NA,NA,NA,46.51,54.82,872,10.13,"COVID19Cases","","2021-01-12_07-57-58","day",1082,0,2836
"CH",2020-03-18,1205,6042,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,4875,5862,905.29,846.93,TRUE,1,8606033,14,10.52,9.84,70.21,NA,NA,NA,NA,NA,56.65,68.12,872,10.14,"COVID19Cases","","2021-01-12_07-57-58","day",1205,0,2836
"CH",2020-03-19,835,6877,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,5354,6635,936.86,901.07,TRUE,1,8606033,9.7,10.89,10.47,79.91,NA,NA,NA,NA,NA,62.21,77.1,479,5.56,"COVID19Cases","","2021-01-12_07-57-58","day",835,0,2836
"CH",2020-03-20,1139,8016,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,6062,7701,994.14,963.64,TRUE,1,8606033,13.23,11.55,11.2,93.14,NA,NA,NA,NA,NA,70.44,89.48,708,8.23,"COVID19Cases","","2021-01-12_07-57-58","day",1139,0,2836
"CH",2020-03-21,691,8707,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,6337,8343,1016.86,985.5,TRUE,1,8606033,8.03,11.82,11.45,101.17,NA,NA,NA,NA,NA,73.63,96.94,275,3.19,"COVID19Cases","","2021-01-12_07-57-58","day",691,0,2836
"CH",2020-03-22,546,9253,FALSE,466016,0,FALSE,442416,0,FALSE,390125,0,FALSE,30941,0,FALSE,52685,0,6558,8821,997.43,993.14,TRUE,1,8606033,6.34,11.59,11.54,107.52,NA,NA,NA,NA,NA,76.2,102.5,221,2.57000000000001,"COVID19Cases","","2021-01-12_07-57-58","day",546,0,2836
